Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;S5;I;2;BELO HORIZONTE;MG;03/2021;NA;NA;NA;NA;508.293;2.221.601;0;NA;NA;NA;0;82.827;2.304.429;NA;NA%;NA%;22,06%;NA%;3,05%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;S4;I;2;DOURADOS;MS;03/2021;567.557;0;567.557;0;567.557;2.193.107;0;0;1.486;0;1.486;107.758;2.302.352;3.778.388;24,65%;24,65%;24,65%;15,02%;5,69%
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;S4;I;1;SAO PAULO;SP;03/2021;877.077;0;877.077;0;877.077;1.998.179;93;0;0;0;93;283.918;2.282.190;NA;38,43%;38,43%;38,43%;NA%;3,35%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;S4;I;2;CANARANA;MT;03/2021;442.445;0;442.445;0;442.445;2.226.287;470;0;583;0;1.053;44.322;2.271.662;3.012.101;19,48%;19,48%;19,48%;14,69%;7,80%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;S4;I;2;CAMPO VERDE;MT;03/2021;335.316;0;335.316;0;335.316;2.244.204;16.158;0;656;0;16.813;3.100;2.264.118;3.251.288;14,81%;14,81%;14,81%;10,31%;7,57%
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;S5;I;2;BRASILIA;DF;03/2021;NA;NA;NA;NA;667.819;2.110.841;0;NA;NA;NA;0;82.794;2.193.636;NA;NA%;NA%;30,44%;NA%;1,19%
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;S5;I;2;RIO VERDE;GO;03/2021;NA;NA;NA;NA;625.204;1.999.367;0;NA;NA;NA;0;69.845;2.069.212;NA;NA%;NA%;30,21%;NA%;3,06%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO MT/RR;26555235;b3S;S4;I;2;SORRISO;MT;03/2021;514.260;0;514.260;0;514.260;1.866.779;1.746;0;1.755;0;3.502;122.504;1.992.785;3.607.650;25,81%;25,81%;25,81%;14,25%;6,77%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE – SICREDI GRANDES RIOS MT/PA;37442605;b3S;S4;I;2;COLIDER;MT;03/2021;404.546;0;404.546;0;404.546;1.841.982;0;0;316;0;316;111.884;1.954.181;2.976.336;20,70%;20,70%;20,70%;13,59%;8,30%
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;S5;I;2;LINHARES;ES;03/2021;NA;NA;NA;NA;565.326;1.851.132;0;NA;NA;NA;0;96.746;1.947.879;NA;NA%;NA%;29,02%;NA%;4,28%
